id,name,city,category,rating,estimated_cost,duration_hours,popularity,tags,description,latitude,longitude
160,Rock Climbing Wall Riverside - Nha,Nha Trang,adventure,4.5,383470,2.8,0.77,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,12.226872,109.239702
161,Riverside Dining Old Town - Ha,Ha Noi,food,3.9,275385,2.2,0.72,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,20.998337,105.840686
162,Science Discovery Premium - Da,Da Nang,museum,3.9,107012,2.4,0.53,"museum,culture,history",Cultural landmark showcasing local history and art collections.,16.102764,108.247693
163,Cong Caphe Central - Nha,Nha Trang,cafe,3.5,62092,2.0,0.73,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,12.285273,109.192867
164,Zipline Canopy Tour Riverside - Da,Da Nang,adventure,3.9,255814,5.6,0.9,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,16.11282,108.252331
165,Live Music Venue Premium - Da,Da Nang,nightlife,4.3,327253,2.9,0.86,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.080137,108.287942
166,War Remnants Exhibit - Hoi,Hoi An,museum,4.2,40861,2.6,0.63,"museum,culture,history",Cultural landmark showcasing local history and art collections.,15.870368,108.322362
167,Fine Arts Gallery Old Town - Nha,Nha Trang,museum,4.2,113525,1.9,0.49,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.217956,109.206424
168,Cocktail Harbor Riverside - Ha,Ha Noi,nightlife,4.5,424345,2.1,0.59,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",21.031392,105.836524
169,Canyon Trek - Da,Da Nang,adventure,4.9,270480,5.4,0.84,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,16.037057,108.121002
170,Blue Lagoon Riverside - Hoi,Hoi An,beach,4.3,197579,3.9,0.72,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",15.868822,108.320971
171,Colonial Archive Riverside - Hue,Hue,museum,4.0,109016,2.7,0.81,"museum,culture,history",Cultural landmark showcasing local history and art collections.,16.482025,107.615172
172,Cable Car Adventure Premium - Da,Da Lat,adventure,4.5,392291,5.5,0.43,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,11.894227,108.429103
173,Night Market Bites Riverside - Phu,Phu Quoc,food,3.9,271021,1.4,0.36,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,10.007753,103.957884
174,The Married Beans Premium - Hoi,Hoi An,cafe,4.6,62411,0.8,0.31,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,15.866095,108.316311
175,Espresso Corner Old Town - Ho,Ho Chi Minh,cafe,4.7,51992,1.4,0.97,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.847754,106.674447
176,Pine Forest Trail Old Town - Ha,Ha Noi,nature,4.4,108384,3.3,0.8,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,20.961399,105.880498
177,Souvenir Lane - Da,Da Nang,shopping,4.7,447452,3.0,0.85,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",16.032081,108.192824
178,Heritage Shop Street Premium - Hoi,Hoi An,shopping,4.8,461138,2.0,0.6,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",15.874488,108.354579
179,Late Night Bistro Central - Phu,Phu Quoc,nightlife,4.6,483201,3.2,0.94,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.309857,103.942975
180,Seafood Harbor Premium - Nha,Nha Trang,food,3.9,286350,1.4,0.63,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,12.26155,109.180638
181,Ethnology Center Central - Da,Da Lat,museum,4.2,66507,2.7,0.54,"museum,culture,history",Cultural landmark showcasing local history and art collections.,11.999654,108.485178
182,Lake View Park Premium - Nha,Nha Trang,nature,3.9,116542,3.5,0.83,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,12.273591,109.223344
183,Colonial Archive Premium - Phu,Phu Quoc,museum,3.9,73005,2.5,0.51,"museum,culture,history",Cultural landmark showcasing local history and art collections.,10.232622,103.944652
184,Rock Climbing Wall Old Town - Hoi,Hoi An,adventure,4.6,534076,3.2,0.46,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,15.888851,108.325777
185,Cong Caphe Riverside - Ha,Ha Noi,cafe,3.9,107278,2.0,0.67,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,20.99245,105.786084
186,Snorkel Cove Old Town - Da,Da Nang,beach,3.8,8708,4.5,0.39,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",15.986827,108.129269
187,Live Music Venue Premium - Nha,Nha Trang,nightlife,4.8,498151,2.9,0.61,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.197655,109.12822
188,Fashion District Riverside - Phu,Phu Quoc,shopping,4.2,332525,2.3,0.34,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",10.059679,103.962568
189,Craft Village Premium - Nha,Nha Trang,shopping,4.3,248195,2.2,0.85,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",12.203853,109.203612
190,Contemporary Art Space - Phu,Phu Quoc,museum,5.0,60026,2.4,0.34,"museum,culture,history",Cultural landmark showcasing local history and art collections.,10.384044,103.869847
191,Morning Brew Premium - Da,Da Nang,cafe,3.7,52782,1.3,0.41,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,16.041278,108.237193
192,Hidden Cove Central - Phu,Phu Quoc,beach,3.9,79112,4.5,0.62,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.274954,104.034782
193,ATV Trail - Da,Da Nang,adventure,3.8,406226,5.6,0.88,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,15.990711,108.148207
194,Coral Bay Premium - Nha,Nha Trang,beach,4.2,84715,4.4,0.96,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",12.245071,109.199007
195,Green Valley Eco-Park Old Town - Ho,Ho Chi Minh,nature,4.4,16780,2.7,0.97,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,10.865394,106.642032
196,Colonial Archive Central - Da,Da Lat,museum,4.2,105394,2.2,0.49,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.019481,108.445383
197,Weekend Fair Old Town - Phu,Phu Quoc,shopping,4.1,198326,2.3,0.9,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",10.131921,103.988735
198,Cable Car Adventure Riverside - Nha,Nha Trang,adventure,3.6,514659,3.3,0.98,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,12.230626,109.202335
199,War Remnants Exhibit Premium - Da,Da Lat,museum,3.8,67419,2.4,0.65,"museum,culture,history",Cultural landmark showcasing local history and art collections.,11.925147,108.387742
200,Night Bazaar Riverside - Nha,Nha Trang,nightlife,4.8,708257,2.2,0.98,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.261331,109.158288
